W(u),W(v),d2,d3,d4,sign
20.0,-60.0,-2.0,-0.29464285714285715,-0.13949439903118377,-1.0
20.0,24.0,-2.0,0.13432835820895522,0.1676373187164554,-1.0
20.0,24.0,-2.0,0.2323943661971831,0.15035081857667892,-1.0
20.0,12.0,-1.0,0.19166666666666668,0.12247133101404459,-1.0
20.0,-52.0,-2.0,-0.18867924528301888,-0.12220986281053021,-1.0
20.0,-4.0,-1.0,0.1,0.07355679702048418,-1.0
20.0,-20.0,-2.0,-0.00819672131147541,0.02413385581887168,-1.0
20.0,-16.0,0.0,-0.10784313725490197,0.006570810142238714,-1.0
20.0,-52.0,0.0,-0.3548387096774194,-0.25939979303208005,-1.0
20.0,-64.0,-1.0,-0.125,-0.12291296625222024,-1.0
20.0,-36.0,0.0,-0.03676470588235294,-0.04163107238453215,-1.0
20.0,-8.0,-1.0,0.02631578947368421,0.05502645502645503,-1.0
20.0,12.0,1.0,0.34523809523809523,0.1461407206664659,1.0
20.0,-20.0,-1.0,-0.06382978723404255,-0.0255773300211611,-1.0
20.0,-20.0,3.0,0.03731343283582089,-0.0129736905623944,1.0
20.0,-16.0,2.0,0.0,-0.007970244420828906,1.0
20.0,64.0,1.0,0.5454545454545454,0.2996213509221937,1.0
20.0,44.0,2.0,0.4076923076923077,0.23404255319148937,1.0
20.0,-60.0,2.0,-0.2846153846153846,-0.14586079206677963,1.0
20.0,66.0,2.0,0.6818181818181818,0.4102281089036056,1.0
20.0,8.0,2.0,0.11458333333333333,0.0970208278407593,1.0
20.0,-20.0,2.0,-0.03508771929824561,-0.014409426462237366,1.0
20.0,56.0,1.0,0.4426229508196721,0.2651051557993951,1.0
20.0,28.0,0.0,0.19090909090909092,0.1978625072212594,-1.0
20.0,-8.0,1.0,-0.08181818181818182,0.020656338497417957,1.0
20.0,-36.0,1.0,-0.046875,-0.05933179723502304,1.0
20.0,44.0,2.0,0.4772727272727273,0.27664072259056405,1.0
20.0,4.0,2.0,0.24444444444444444,0.08194204567261562,1.0
20.0,8.0,1.0,0.22321428571428573,0.09575274933636709,1.0
20.0,-12.0,1.0,0.0,-0.0038457840592250746,1.0
20.0,40.0,2.0,0.53125,0.2669156219436294,1.0
20.0,22.0,-1.0,0.39166666666666666,0.16969341925405193,-1.0
20.0,-40.0,-1.0,-0.18333333333333332,-0.05839752452432682,-1.0
20.0,-8.0,-1.0,-0.08139534883720931,0.03588616865453024,-1.0
20.0,0.0,-1.0,0.022058823529411766,0.06496570644718792,-1.0
20.0,-28.0,1.0,-0.008333333333333333,-0.03687315634218289,1.0
20.0,-88.0,0.0,-0.3515625,-0.22788550323176363,-1.0
20.0,-52.0,1.0,-0.4270833333333333,-0.22204184704184704,1.0
20.0,-48.0,-1.0,-0.28225806451612906,-0.10587608970519731,-1.0
20.0,68.0,1.0,0.4315068493150685,0.26928838951310863,1.0
20.0,8.0,1.0,0.1557377049180328,0.09536487132227456,1.0
20.0,-28.0,1.0,-0.21153846153846154,-0.08374421036904228,1.0
20.0,44.0,1.0,0.5681818181818182,0.2807928676534234,1.0
20.0,0.0,1.0,0.15384615384615385,0.050508069336521216,1.0
20.0,40.0,1.0,0.23387096774193547,0.21220105391163357,1.0
4.0,30.0,-1.0,0.2037037037037037,0.1296623478602277,-1.0
4.0,56.0,2.0,0.4365079365079365,0.21233296555106043,1.0
4.0,-8.0,-1.0,-0.13043478260869565,-0.023114046228092457,-1.0
4.0,-20.0,2.0,-0.1076923076923077,-0.10119047619047619,1.0
4.0,16.0,1.0,0.24324324324324326,0.09276437847866419,1.0
4.0,24.0,4.0,0.12903225806451613,0.05988182964880834,1.0
4.0,-20.0,1.0,-0.18181818181818182,-0.06730137885751805,1.0
4.0,40.0,3.0,0.3113207547169811,0.19331650990288293,1.0
4.0,28.0,2.0,0.17567567567567569,0.16291946308724833,1.0
4.0,28.0,3.0,0.19402985074626866,0.08557501354035024,1.0
4.0,16.0,3.0,0.23469387755102042,0.061187856083665025,1.0
4.0,-32.0,-4.0,-0.10256410256410256,-0.08373373373373373,-1.0
4.0,4.0,1.0,0.24489795918367346,0.022386831275720165,1.0
4.0,-12.0,0.0,-0.1956521739130435,-0.0999096657633243,-1.0
4.0,-32.0,0.0,-0.1590909090909091,-0.16788448155880306,-1.0
4.0,-52.0,-2.0,-0.3076923076923077,-0.20406582768635043,-1.0
4.0,22.0,-2.0,0.058823529411764705,0.09898405130824678,-1.0
4.0,0.0,0.0,-0.046511627906976744,0.0024034017378443337,-1.0
4.0,-16.0,-2.0,-0.23214285714285715,-0.05751738897806313,-1.0
4.0,16.0,2.0,0.15625,0.04300661146415046,1.0
4.0,-4.0,3.0,0.11666666666666667,-0.07180650037792895,1.0
4.0,48.0,3.0,0.29577464788732394,0.15621523508402133,1.0
4.0,0.0,1.0,-0.09821428571428571,-0.015186028853454821,1.0
4.0,-116.0,-3.0,-0.4430379746835443,-0.32986326911124925,-1.0
4.0,-20.0,-3.0,-0.06557377049180328,-0.05795961185418306,-1.0
4.0,56.0,-1.0,0.28125,0.21889725231014015,-1.0
4.0,8.0,3.0,0.040983606557377046,-0.034590592890420574,1.0
4.0,-20.0,1.0,-0.16037735849056603,-0.09925135275368764,1.0
4.0,-16.0,1.0,0.09615384615384616,-0.06849000229832222,1.0
4.0,-8.0,-2.0,-0.2169811320754717,-0.020273658571530913,-1.0
